iter	Passed	Remaining
0	78	23505
1	79	11840
2	80	7951
3	81	6005
4	81	4836
5	82	4056
6	83	3501
7	79	2894
8	85	2768
9	95	2762
10	96	2548
11	98	2354
12	95	2108
13	96	1968
14	97	1845
15	97	1739
16	100	1665
17	105	1647
18	107	1593
19	108	1521
20	109	1458
21	111	1412
22	113	1367
23	114	1319
24	115	1271
25	118	1246
26	119	1204
27	120	1168
28	124	1160
29	127	1146
30	132	1152
31	133	1120
32	134	1088
33	136	1070
34	139	1053
35	141	1038
36	143	1017
37	143	992
38	145	976
39	148	964
40	152	964
41	153	943
42	154	922
43	155	903
44	156	884
45	156	866
46	157	849
47	158	832
48	159	816
49	160	801
50	161	786
51	167	800
52	171	797
53	172	783
54	172	770
55	173	756
56	174	743
57	175	731
58	176	719
59	176	707
60	177	696
61	178	685
62	179	675
63	180	665
64	181	655
65	182	645
66	182	636
67	183	626
68	184	617
69	185	609
70	186	600
71	187	592
72	187	584
73	205	627
74	210	630
75	212	626
76	213	619
77	214	611
78	215	602
79	216	595
80	217	587
81	218	579
82	218	572
83	219	564
84	220	557
85	221	550
86	222	543
87	223	537
88	223	530
89	224	524
90	225	518
91	226	511
92	227	505
93	228	499
94	228	493
95	229	488
96	230	482
97	231	476
98	232	471
99	233	466
100	240	473
101	245	476
102	246	472
103	247	466
104	248	461
105	251	459
106	252	454
107	253	451
108	254	446
109	255	441
110	256	436
111	257	431
112	257	426
113	258	422
114	259	417
115	263	417
116	264	413
117	265	408
118	265	404
119	266	400
120	267	395
121	268	391
122	269	387
123	270	383
124	270	379
125	271	375
126	272	371
127	273	367
128	274	363
129	275	360
130	276	356
131	277	3132	286	359
133	287	356
134	288	352
135	289	349
136	290	345
137	291	341
138	292	338
139	292	334
140	293	331
141	294	327
142	295	324
143	296	321
144	297	317
145	298	314
146	298	311
147	319	328
148148	323	328
149	324	324
150	325	321
151	326	317
152	327	314
153	331	314
154	332	311
155	333	308
156	335	305
157	336	302
158	344	305
159	346	303
160	352	304
161	353	300
162	354	297
163	354	294
164	355	291
165	356	287
166	357	284
167	358	281
168	359	278
169	359	275
170	360	272
171	363	270
172	364	267
173	368	266
174	368	263
175	369	260
176	370	257
177	372	255
178	376	254
179	377	251
180	379	249
181	381	247
182	383	245
183	384	242
184	385	239
185	386	236
186	388	234
187	390	232
188	393	230
189	394	228
190	395	225
191	407	229
192	418	231
193	419	229
194	420	226
195	420	223
196	421	220
197	422	217
198	423	214
199	424	212
200	425	209
201	425	206
202	426	203
203	427	201
204	428	198
205	429	195
206	430	193
207	430	190
208	431	188
209	432	185
210	433	182
211	435	180
212	439	179
213	445	178
214	453	179
215	461	179
216	463	177
217	464	174
218	464	171
219	465	169
220	466	166
221	467	164
222	468	161
223	469	159
224	470	156
225	470	154
226	471	151
227	472	149
228	473	146
229	474	144
230	475	141
231	475	139
232	476	137
233	477	134
234	478	132
235	479	130
236	480	127
237	481	125
238	481	122
239	482	120
240	483	118
241	484	116
242	485	113
243	486	111
244	486	109
245	487	107
246	488	104
247	489	102
248	490	100
249	491	98
250	492	96
251	492	93
252	493	91
253	494	89
254	495	87
255	496	85
256	497	83
257	497	81
258	498	78
259	499	76
260	500	74
261	501	72
262	502	70
263	504	68
264	505	66
265	506	64
266	508	62
267	509	60
268	510	58
269	511	56
270	512	54
271	514	53
272	516	51
273	516	49
274	517	47
275	518	45
276	519	43
277	520	41
278	521	39
279	522	37
280	523	35
281	524	33
282	527	31
283	533	30
284	536	28
285	538	26
286	539	24
287	541	22
288	544	20
289	548	18
290	551	17
291	555	15
292	557	13
293	559	11
294	560	9
295	561	7
296	562	5
297	564	3
298	565	1
299	566	0
