iter	Passed	Remaining
0	3	917
1	6	973
2	8	861
3	33	2463
4	42	2490
5	51	2501
6	51	2174
7	52	1927
8	53	1735
9	54	1582
10	57	1504
11	58	1415
12	60	1328
13	60	113	94	1940
14	96	1837
15	916	87	18	88	1305
19	111	1562
20	112	1494
21	113	1432
22	114	1374
23	115	1322
24	115	1274
25	24	148	1633
25	155	1642
26	157	1587
27	157	1534
28	158	1483
29	159	1431	30	160	1332	31	175	1467
32	181	1470
33	184	1441
34	188	1425
35	191	1401
36	192	38	215	1439
39	37	241	1665
38	249	1672
39	251	1636
40	252	1595
41	253	1557
42	257	1539
43	263	1534
44	265	1502
45	266	1473
46	268	1446
47	272	1431
48	273	1451	260	1242
52	50	277	1353	51	279	1354	278	1238
55	279	1217
56	255	261	114055	322	1403
56	323	1380
57	327	1364
58	327	1339
59	331	1327
60	338	1325
61	339	1301
62	339	1278
63	340	1256
64	341	1234
65	342	1213
66	343	1193
67	344	1173
68	344	1154
69	345	1135
70	346	1117
71	347	1100
72	348	1082
73	349	1066
74	349	1049
777	323	920
78	324	907
79	327	899
80	333	901
81	334	888
82	335	875
83	338	871
84	341	862
85	341	850
86	343	841
87	347	837
88	350	831
8987	388	9390	353	812
91	356	805
92	358	798
93	359	787
94	360	778
95	361	768
96	362	758
97	100	369	728
101	372	723
102	381	730
103	383	722
104	384	713
105	384	704
106	385	695
107	386	687
108	387	678
109	388	670
110	389	662
111	390	654
112	390	646
113	391	639
114	392	631
115	393	624
116	398	622
117	398	615
118	399	608
119	402	603
120	403	597
121	405	591
122	405	584
123	406	577
124	40120	452	668
121	454	663
122	455	656
123	456	648
124	457	640
125	458	633
126	459	625
127	460	618
128	461	611
129	461	604
130	462	597
132	482	606
133	483	599
134	484	592
135	485	585
136	486	578
137	487	572
138	488	565
139	489	559
140	490	552
141	490	546
142	491	539
143	492	533
144	493	527
145	494	521
146	494	515
147	496	510
148	499	505
149	500	500
150	500	494
151	502	488
151	48156	464	423
157	466	419
158	467	414
159	468	410
160	469	405
161	470	400
162	47158	517	459
159	523	458
160	524	452
161	525	447
162	526	442
163	527	437
164	527	431
165	528	426
166	529	421
167	530	416
168	531	411
169	532	406
170	533	402
172	554	407
173	559	405
174	562	402
175	563	397
176	564	392
177	565	387
178	566	382
179	567	378
180	582	383
181	583	378
182	584	373
183	585	369
184	586	364
185	587	360
186	588	355
187	589	351
188	590	346
189	591	342
190	591	337
191	592	333
192	593	329
193	594	324
194	603	324
195	606	321
196	606	317
197	607	313
198	608	308
199	609	304
200	610	300
201	611	296
202	611	292
203	612	288
204	613	284
20207	598	264
208	601	261
209	602	258
210	612	258
211	638	265
212	639	261
213	640	257
214	644	254
215	650	252
216	650	248
217	651	245
218	652	241
219	653	237
220	654	233
221	655	230
222	656	226
223	656	222
224	657	219
225	658	215
226	659	212
227	660	208
228	661	204
229	662	201
230	662	197
231	663	194
232	664	191
233	665	187
234	666	184
235	667	180
236	667	177
237	668	174
238	669	170
239	670	167
240	671	164
241	672	161
242	672	157
243	673	154
244	674	151
245	675	148
246	676	145
247	677	141
248	679	139
249	680	136
250	682	133
251	682	130
252	683	127
253	684	123
254	685	120
255	686	117
256	687	114
257	688	112
258	688	109
259	689	106
260	690	103
261	691	100
262	692	97261	726	105
262	730	102
263	731	99
264	732	96
265	734	93
266	738	91
267	739	88
268	740	85
269	741	82
270	742	79
271	743	76
272	743	73
273	744	70
274	749	68
275	750	65
276	751	62
277	753	59
278	754	56
279	754	53
280	755	51
281	756	48
282	757	45
283	758	42
284	760	40
285	760	37
286	761	34
287	762	31
288	763	29
289	764	26
290	765	23
291	766	20
292	767	18
293	767	15
294	768	13
295	769	10
296	770	7
297	772	5
298	772	2
299	773	0
696	0
